Town,Cases,Date,Lat,Lon,Deaths,CaseRate,Daily_reported_cases,Daily_reported_cases_MA7
Lisbon,0,3/24/2020,41.6027656,-72.0122611,0,0,0,0
Lisbon,2,3/25/2020,41.6027656,-72.0122611,0,0,2,0
Lisbon,2,3/26/2020,41.6027656,-72.0122611,0,0,0,0
Lisbon,2,3/27/2020,41.6027656,-72.0122611,0,0,0,0
Lisbon,2,3/28/2020,41.6027656,-72.0122611,0,0,0,0
Lisbon,2,3/29/2020,41.6027656,-72.0122611,0,0,0,0
Lisbon,2,3/30/2020,41.6027656,-72.0122611,0,0,0,0
Lisbon,2,3/31/2020,41.6027656,-72.0122611,0,0,0,0
Lisbon,2,4/1/2020,41.6027656,-72.0122611,0,0,0,0
Lisbon,2,4/2/2020,41.6027656,-72.0122611,0,0,0,0
Lisbon,2,4/3/2020,41.6027656,-72.0122611,0,0,0,0
Lisbon,2,4/4/2020,41.6027656,-72.0122611,0,0,0,0
Lisbon,2,4/5/2020,41.6027656,-72.0122611,0,0,0,0
Lisbon,2,4/6/2020,41.6027656,-72.0122611,0,0,0,0
Lisbon,2,4/7/2020,41.6027656,-72.0122611,0,0,0,0
Lisbon,2,4/8/2020,41.6027656,-72.0122611,0,0,0,0
Lisbon,2,4/9/2020,41.6027656,-72.0122611,0,0,0,0
Lisbon,2,4/10/2020,41.6027656,-72.0122611,0,0,0,0
Lisbon,2,4/11/2020,41.6027656,-72.0122611,0,0,0,0
Lisbon,2,4/12/2020,41.6027656,-72.0122611,0,0,0,0
Lisbon,5,4/13/2020,41.6027656,-72.0122611,0,0,3,0
Lisbon,6,4/14/2020,41.6027656,-72.0122611,0,0,1,0
Lisbon,4,4/15/2020,41.6027656,-72.0122611,0,0,-2,0
Lisbon,4,4/16/2020,41.6027656,-72.0122611,0,94,0,0
Lisbon,4,4/17/2020,41.6027656,-72.0122611,0,94,0,0
Lisbon,4,4/18/2020,41.6027656,-72.0122611,0,94,0,0
Lisbon,4,4/19/2020,41.6027656,-72.0122611,0,94,0,0
Lisbon,4,4/20/2020,41.6027656,-72.0122611,0,94,0,0
Lisbon,4,4/21/2020,41.6027656,-72.0122611,0,94,0,0
Lisbon,4,4/22/2020,41.6027656,-72.0122611,0,94,0,0
Lisbon,5,4/23/2020,41.6027656,-72.0122611,0,118,1,0
Lisbon,5,4/24/2020,41.6027656,-72.0122611,0,118,0,0
Lisbon,6,4/25/2020,41.6027656,-72.0122611,0,141,1,0
Lisbon,6,4/26/2020,41.6027656,-72.0122611,0,141,0,0
Lisbon,6,4/27/2020,41.6027656,-72.0122611,0,141,0,0
Lisbon,6,4/28/2020,41.6027656,-72.0122611,0,141,0,0
Lisbon,5,4/29/2020,41.6027656,-72.0122611,0,118,-1,0
Lisbon,5,4/30/2020,41.6027656,-72.0122611,0,118,0,0
Lisbon,5,5/1/2020,41.6027656,-72.0122611,0,118,0,0
Lisbon,5,5/2/2020,41.6027656,-72.0122611,0,118,0,0
Lisbon,5,5/4/2020,41.6027656,-72.0122611,0,118,0,0
Bethany,0,3/24/2020,41.422964,-72.9941871,0,0,0,0
Bethany,0,3/25/2020,41.422964,-72.9941871,0,0,0,0
Bethany,0,3/26/2020,41.422964,-72.9941871,0,0,0,0
Bethany,0,3/27/2020,41.422964,-72.9941871,0,0,0,0
Bethany,0,3/28/2020,41.422964,-72.9941871,0,0,0,0
Bethany,0,3/29/2020,41.422964,-72.9941871,0,0,0,0
Bethany,0,3/30/2020,41.422964,-72.9941871,0,0,0,0
Bethany,1,3/31/2020,41.422964,-72.9941871,0,0,1,0
Bethany,1,4/1/2020,41.422964,-72.9941871,0,0,0,0
Bethany,1,4/2/2020,41.422964,-72.9941871,0,0,0,0
Bethany,3,4/3/2020,41.422964,-72.9941871,0,0,2,0
Bethany,4,4/4/2020,41.422964,-72.9941871,0,0,1,0
Bethany,4,4/5/2020,41.422964,-72.9941871,0,0,0,0
Bethany,4,4/6/2020,41.422964,-72.9941871,0,0,0,0
Bethany,4,4/7/2020,41.422964,-72.9941871,0,0,0,0
Bethany,6,4/8/2020,41.422964,-72.9941871,0,0,2,0
Bethany,6,4/9/2020,41.422964,-72.9941871,0,0,0,0
Bethany,6,4/10/2020,41.422964,-72.9941871,0,0,0,0
Bethany,6,4/11/2020,41.422964,-72.9941871,0,0,0,0
Bethany,9,4/12/2020,41.422964,-72.9941871,0,0,3,0
Bethany,8,4/13/2020,41.422964,-72.9941871,1,0,-1,0
Bethany,9,4/14/2020,41.422964,-72.9941871,1,0,1,0
Bethany,10,4/15/2020,41.422964,-72.9941871,1,0,1,0
Bethany,11,4/16/2020,41.422964,-72.9941871,1,201,1,0
Bethany,13,4/17/2020,41.422964,-72.9941871,1,237,2,1
Bethany,14,4/18/2020,41.422964,-72.9941871,1,256,1,1
